index,id,date,time,year_compet,id_compet,name_compet,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_elo,visitor_elo,local_xG,visitor_xG,l_xG,v_xG,l_xG10,v_xG10,l_xG9,v_xG9,l_xG8,v_xG8,l_xG7,v_xG7,l_xG6,v_xG6,l_xG5,v_xG5,l_xG4,v_xG4,l_xG3,v_xG3,l_xG2,v_xG2,l_avg_xG2_10,v_avg_xG2_10,l_nbM,v_nbM
0,20962,2022-01-02,15:00,2022,1,Liga Santander,Journée 19,1217,2107,Getafe,Real Madrid,Getafe - Real Madrid,,,,,1643.0,3786.0,0.48,2.64,0.65,2.89,1.4,5.0,1.44,6.0,1.38,7.0,1.57,5.5,1.0,9.0,1.0,8.0,0.33,6.0,0.33,4.0,0.2,2.0,0.74,5.75,20.0,25.0
19,13165,2022-01-02,15:00,2022,25,Championship,Journée 26,548,1694,Bristol City,Millwall,Bristol City - Millwall,,,,,1099.0,785.0,1.28,1.0,0.74,1.07,0.71,1.2,0.63,1.11,0.77,1.25,0.8,1.13,0.78,1.14,0.67,1.17,0.86,1.2,0.71,1.67,0.6,1.0,0.74,1.22,25.0,26.0
11,21480,2022-01-02,15:00,2022,2,Segunda División,Journée 22,2654,1535,Real Valladolid,Leganés,Real Valladolid - Leganés,,,,,1527.0,1670.0,1.48,1.28,1.48,0.94,1.54,1.89,2.11,2.0,2.0,1.75,1.63,1.75,2.4,1.5,2.0,1.14,1.8,1.0,3.5,2.0,5.0,2.5,2.72,1.65,23.0,25.0
12,21482,2022-01-02,15:00,2022,2,Segunda División,Journée 22,183,643,Almería,FC Cartagena,Almería - FC Cartagena,,,,,1435.0,900.0,1.91,0.98,2.22,1.07,3.75,1.56,3.5,1.62,3.25,1.43,2.75,2.0,2.5,1.8,2.33,3.0,2.33,2.33,3.0,3.0,5.0,5.0,2.98,2.86,24.0,23.0
22,13172,2022-01-02,16:00,2022,25,Championship,Journée 26,2748,636,West Bromwich Albion,Cardiff City,West Bromwich Albion - Cardiff City,,,,,2129.0,1270.0,2.24,1.06,1.25,0.61,0.71,0.72,1.25,0.81,1.0,0.77,1.0,0.83,1.5,0.73,1.5,0.6,1.5,0.67,1.0,0.5,0.0,0.4,1.08,0.62,25.0,25.0
6,5547,2022-01-02,16:00,2022,10,Premier League,Journée 21,9179,297,Brentford,Aston Villa,Brentford - Aston Villa,,,,,1055.0,1578.0,1.32,1.74,1.14,1.07,0.56,0.75,0.6,0.85,0.62,1.11,0.5,1.25,0.4,1.0,0.5,0.86,0.33,1.0,0.0,0.75,0.0,1.0,0.29,0.98,22.0,20.0
7,5550,2022-01-02,16:00,2022,10,Premier League,Journée 21,1017,5652,Everton,Brighton & Hove Albion,Everton - Brighton & Hove Albion,,,,,2643.0,1382.0,1.96,0.63,0.78,1.15,0.38,0.91,0.4,0.89,0.4,0.86,0.38,0.83,0.38,1.25,0.5,1.25,0.56,1.33,0.8,1.5,0.5,3.0,0.52,1.53,19.0,21.0
8,5551,2022-01-02,16:00,2022,10,Premier League,Journée 21,1533,569,Leeds United,Burnley,Leeds United - Burnley,,,,,1287.0,1851.0,1.38,1.48,0.55,0.73,0.45,0.71,0.5,0.83,0.42,0.8,0.39,0.89,0.38,0.63,0.37,0.57,0.31,0.25,0.21,0.25,0.09,0.33,0.29,0.49,21.0,19.0
21,13163,2022-01-02,16:00,2022,25,Championship,Journée 26,507,1337,Blackburn Rovers,Huddersfield Town,Blackburn Rovers - Huddersfield Town,,,,,1449.0,1036.0,2.77,0.98,1.47,1.06,1.82,1.08,1.8,1.09,6.0,1.22,7.5,1.11,14.0,1.25,10.0,1.5,9.0,1.6,8.0,1.75,6.0,2.0,9.08,1.54,25.0,27.0
20,13162,2022-01-02,16:00,2022,25,Championship,Journée 26,502,2044,Birmingham City,Queens Park Rangers,Birmingham City - Queens Park Rangers,,,,,1333.0,1294.0,1.16,1.5,0.72,1.25,0.86,1.43,0.77,1.43,0.62,1.5,0.38,1.33,0.36,1.4,0.44,1.0,0.44,0.8,0.33,0.5,0.33,1.0,0.38,1.0,25.0,27.0
13,21487,2022-01-02,17:00,2022,2,Segunda División,Journée 22,2125,1598,Real Sporting,Lugo,Real Sporting - Lugo,,,,,1865.0,1033.0,1.72,0.89,0.96,0.96,0.67,0.93,0.73,0.93,0.89,1.0,1.0,1.11,1.75,0.88,2.0,0.83,1.67,0.8,2.5,0.67,4.0,0.67,2.15,0.83,23.0,22.0
2,20969,2022-01-02,17:15,2022,1,Liga Santander,Journée 19,975,4235,Elche,Granada,Elche - Granada,,,,,1426.0,1876.0,1.43,1.37,0.78,1.11,0.87,1.69,0.93,1.46,1.0,1.73,1.0,2.57,1.43,3.2,1.5,1.8,1.17,1.75,0.8,2.0,1.0,3.0,1.15,2.39,20.0,20.0
1,20958,2022-01-02,17:15,2022,1,Liga Santander,Journée 19,369,2080,Atlético,Rayo Vallecano,Atlético - Rayo Vallecano,,,,,3728.0,1685.0,2.14,1.17,1.19,1.65,0.87,1.62,1.0,1.5,1.0,1.5,0.91,1.83,1.0,1.6,0.67,1.75,0.71,2.0,0.33,1.67,0.5,5.0,0.69,2.31,25.0,24.0
10,5548,2022-01-02,18:30,2022,10,Premier League,Journée 21,752,3845,Chelsea,Liverpool,Chelsea - Liverpool,,,,,3432.0,3229.0,1.65,1.28,2.9,3.0,1.38,2.44,1.42,2.22,1.36,1.78,1.63,1.5,2.0,1.38,2.33,1.29,3.0,1.14,3.0,0.83,2.0,0.75,2.33,1.15,30.0,28.0
23,3753,2022-01-02,19:00,2022,97,Liga A1,Temporada Regular,1748,13240,FC Ashdod,Hapoel Nof HaGalil,FC Ashdod - Hapoel Nof HaGalil,,,,,359.0,350.0,0.91,1.25,0.64,0.5,0.83,0.21,0.67,0.27,0.6,0.2,0.56,0.2,0.44,0.15,0.33,0.08,0.22,0.12,0.29,0.17,0.33,0.25,0.36,0.16,20.0,21.0
14,21473,2022-01-02,19:15,2022,2,Segunda División,Journée 22,1339,1236,Huesca,Girona,Huesca - Girona,,,,,1197.0,1370.0,1.0,1.17,1.14,1.38,1.14,2.09,1.17,2.0,1.75,2.38,1.5,2.12,1.5,2.14,1.5,4.33,1.0,4.0,0.5,2.5,0.0,4.0,1.0,3.18,23.0,27.0
15,21475,2022-01-02,19:15,2022,2,Segunda División,Journée 22,1699,2136,Mirandés,Real Zaragoza,Mirandés - Real Zaragoza,,,,,1167.0,1423.0,1.37,1.08,0.94,0.95,1.0,1.1,0.92,1.0,1.11,0.8,1.25,0.62,1.29,0.83,1.33,0.8,0.83,0.6,1.0,0.4,0.5,1.0,1.03,0.71,23.0,23.0
4,20960,2022-01-02,19:30,2022,1,Liga Santander,Journée 19,486,712,Real Betis,Celta,Real Betis - Celta,,,,,2194.0,2552.0,1.59,1.52,1.49,1.17,2.27,1.55,2.78,1.89,2.44,1.89,2.22,2.33,2.13,2.6,1.62,2.75,1.5,1.5,2.0,2.5,1.2,2.5,1.78,2.36,26.0,20.0
3,20957,2022-01-02,19:30,2022,1,Liga Santander,Journée 19,137,2120,Alavés,R. Sociedad,Alavés - R. Sociedad,,,,,1660.0,2471.0,1.18,1.65,0.61,1.38,0.78,1.17,0.76,1.0,0.69,1.0,0.64,1.1,0.67,1.22,0.42,0.78,0.4,1.0,0.33,0.57,0.29,1.33,0.46,1.0,20.0,26.0
24,3756,2022-01-02,20:15,2022,97,Liga A1,Temporada Regular,4430,1362,Hapoel Be'er Sheva,Bnei Sakhnin,Hapoel Be'er Sheva - Bnei Sakhnin,,,,,997.0,431.0,1.5,1.02,2.59,1.0,2.86,1.0,2.83,1.25,3.2,1.0,3.75,1.0,4.33,0.89,5.5,0.67,5.0,0.71,4.0,0.57,2.5,0.14,4.18,0.66,25.0,21.0
18,35238,2022-01-02,20:30,2022,19,Liga NOS,Journée 13,7015,138403,Vizela,Belenenses SAD,Vizela - Belenenses SAD,,,,,1360.0,539.0,2.38,0.95,0.69,0.5,0.86,0.53,0.71,0.59,0.77,0.5,0.75,0.5,0.73,0.4,0.55,0.46,0.71,0.1,0.17,0.33,0.5,0.5,0.57,0.38,19.0,18.0
16,21472,2022-01-02,22:00,2022,2,Segunda División,Journée 22,1179,1352,Fuenlabrada,UD Ibiza,Fuenlabrada - UD Ibiza,,,,,593.0,340.0,1.3,1.01,0.73,1.69,0.5,0.71,0.5,0.71,0.5,0.57,0.8,0.67,0.75,0.67,0.67,0.8,0.33,0.4,0.0,0.4,0.0,0.25,0.42,0.53,23.0,49.0
5,20961,2022-01-02,22:00,2022,1,Liga Santander,Journée 19,1623,429,Mallorca,Barcelona,Mallorca - Barcelona,,,,,1307.0,3768.0,0.6,2.93,0.93,1.0,1.33,1.08,1.36,1.0,1.4,1.0,1.5,0.9,2.2,0.9,2.2,0.67,1.8,0.75,1.75,1.2,1.75,1.33,1.87,0.96,20.0,24.0
17,21479,2022-01-02,22:30,2022,2,Segunda División,Journée 22,2477,2563,Tenerife,Las Palmas,Tenerife - Las Palmas,,,,,1147.0,1987.0,1.05,1.02,1.63,1.03,1.71,0.72,1.71,0.65,1.67,0.62,2.0,0.62,1.8,0.64,1.4,0.86,1.25,0.6,1.33,0.4,1.5,0.25,1.55,0.56,23.0,24.0
